ID,Category,Question,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,CorrectAns1,CorrectAns2,CorrectAns3
253,PEOPLE & ORGANIZATION,What is the project to conduct problem solving in Continental?,CIM,CBS,SPS,MVTS,NIL,NIL,NIL,NIL,NIL,NIL,SPS,NIL,NIL
254,PEOPLE & ORGANIZATION,Which tool is used in problem solving process?,5-why     ,Fishbone             ,5M1E         ,All of them,NIL,NIL,NIL,NIL,NIL,NIL,All of them,NIL,NIL
255,PEOPLE & ORGANIZATION,Which tool is used in shop floor training?,HRD,One point lesson,CBS,SAP,NIL,NIL,NIL,NIL,NIL,NIL,One point lesson,NIL,NIL
256,PEOPLE & ORGANIZATION,The meeting held by plant monthly to discuss the KPI performance is called___,MMM,POR,Quality Review,Town hall,NIL,NIL,NIL,NIL,NIL,NIL,MMM,NIL,NIL
257,PEOPLE & ORGANIZATION,Who is responsible for the product quality of our plant?,Inspector,QM department,Plant management team,Everyone in the plant,NIL,NIL,NIL,NIL,NIL,NIL,Everyone in the plant,NIL,NIL
258,PEOPLE & ORGANIZATION,What is Quality?,Fulfill customer requirements and expectations,Zero defects,0-km,Premium products,NIL,NIL,NIL,NIL,NIL,NIL,Fulfill customer requirements and expectations,NIL,NIL
259,PEOPLE & ORGANIZATION,Who is responsible for Quality?,Department Leader,Every Body,Manufacturing people,QM/QA department,NIL,NIL,NIL,NIL,NIL,NIL,Every Body,NIL,NIL
260,PEOPLE & ORGANIZATION,What is a Quality Management System?,A database for standards and Norms,To store documents and specifications.,A ISO System to define quality standards,A collection of business processes focused on consistently meeting customer requirements,NIL,NIL,NIL,NIL,NIL,NIL,A collection of business processes focused on consistently meeting customer requirements,NIL,NIL
261,PEOPLE & ORGANIZATION,What is the meaning of Yokoten in Continental?,Japanese game,Problem Solving Method,Combination of Problem Solving & Lessons Learned,Japanese food,NIL,NIL,NIL,NIL,NIL,NIL,Combination of Problem Solving & Lessons Learned,NIL,NIL
262,PEOPLE & ORGANIZATION,Who approves an 8D-Report?,Line Release Manager,8D Champion,8D Team Leader,Project Manager,NIL,NIL,NIL,NIL,NIL,NIL,8D Champion,NIL,NIL
263,PEOPLE & ORGANIZATION,What is the main purpose of Lessons Learned?,Avoid recurrence of failures,Standardize recurrence of failures,Avoid standardization,Avoid best practices,NIL,NIL,NIL,NIL,NIL,NIL,Avoid recurrence of failures,NIL,NIL
264,PEOPLE & ORGANIZATION,What is not part of the generic problem solving,Describe Problem,Solve Problem,Improve Problem,Validate Solution and Standardize,NIL,NIL,NIL,NIL,NIL,NIL,Improve Problem,NIL,NIL
265,PEOPLE & ORGANIZATION,What are the current focus areas of Lessons Learned,HR & IT,Development & Production,Search & Replace,Finance & Law,NIL,NIL,NIL,NIL,NIL,NIL,Development & Production,NIL,NIL
266,PEOPLE & ORGANIZATION,Who has no access to the Lessons Learned Database,Project Managers,Lessons Learned Managers,Customers,Quality Managers,NIL,NIL,NIL,NIL,NIL,NIL,Customers,NIL,NIL
267,PEOPLE & ORGANIZATION,How do you document your Problem Solving Story?,A3 Sheet,C4 Sheet,D7 Sheet,B2B Sheet,NIL,NIL,NIL,NIL,NIL,NIL,A3 Sheet,NIL,NIL
268,PEOPLE & ORGANIZATION,How many steps are in the generic Problem Solving Process,30,12,4,7,NIL,NIL,NIL,NIL,NIL,NIL,4,NIL,NIL
269,PEOPLE & ORGANIZATION,Problem Solving can be illustrated as a job for,Batman,Donald Duck,Bigfoot,Sherlock Holmes,NIL,NIL,NIL,NIL,NIL,NIL,Sherlock Holmes,NIL,NIL
270,PEOPLE & ORGANIZATION,What is not a common term in 8D method?,Emergency Response Action (ERA),Permanent Corrective Action (PCA),Interim Containment Action (ICA),Emergency Corrective Action (ECA),NIL,NIL,NIL,NIL,NIL,NIL,Emergency Corrective Action (ECA),NIL,NIL
271,PEOPLE & ORGANIZATION,Lessons in projects are collected in a workshop before,G100,G90,G40,G21,NIL,NIL,NIL,NIL,NIL,NIL,G90,NIL,NIL
272,PEOPLE & ORGANIZATION,What is the first step in Problem Solving,Solve Problem,Describe Problem,Discuss Problem,Analyze Problem,NIL,NIL,NIL,NIL,NIL,NIL,Describe Problem,NIL,NIL
273,PEOPLE & ORGANIZATION,What is the meaning of RAI?,Red Alert Intervention,Release Approve Inform,Read Across Implementation,Rule and integrate,NIL,NIL,NIL,NIL,NIL,NIL,Read Across Implementation,NIL,NIL
274,PEOPLE & ORGANIZATION,What is Continental's tag line?,The future starts earlier with Continental,In Continental we trust,The future in motion,Security. mobility. Infinity,NIL,NIL,NIL,NIL,NIL,NIL,The future in motion,NIL,NIL
275,PEOPLE & ORGANIZATION,Which of the following is not one of the 4 Continental basic values?,Passion to win,Trustless,Freedom to act,For one another,NIL,NIL,NIL,NIL,NIL,NIL,Trustless,NIL,NIL
276,PEOPLE & ORGANIZATION,Which of the 4 Continental basic values represent customer Quality most?,Freedom to act,For one another,Trust,Passion to win,NIL,NIL,NIL,NIL,NIL,NIL,Trust,NIL,NIL
277,PEOPLE & ORGANIZATION,Doing the right things means:,Proactivity,Productivity,Efficiency,Effectiveness,NIL,NIL,NIL,NIL,NIL,NIL,Effectiveness,NIL,NIL
278,PEOPLE & ORGANIZATION,Doing things right means:,Efficiency,Effectiveness,Productivity,Proactivity,NIL,NIL,NIL,NIL,NIL,NIL,Efficiency,NIL,NIL
279,PEOPLE & ORGANIZATION,What is the meaning of CBS?,Current business situation,Creative brainstorming scheme,Combination business strategy,Continental business systems,NIL,NIL,NIL,NIL,NIL,NIL,Continental business systems,NIL,NIL
280,PEOPLE & ORGANIZATION,What does Quality and CBS not have in common?,The same logo,The same supervisor,Improvements,Customer satisfaction,NIL,NIL,NIL,NIL,NIL,NIL,The same logo,NIL,NIL
281,PEOPLE & ORGANIZATION,What is not part of Continental's Quality Strategy?,Vision,Scope,Strategic goals & KPIs,Mission statement,NIL,NIL,NIL,NIL,NIL,NIL,Mission statement,NIL,NIL
282,PEOPLE & ORGANIZATION,What is not part of Continental's Quality Strategy?,Financial reporting,Strategic actions & KPIs,Scope,Vision,NIL,NIL,NIL,NIL,NIL,NIL,Financial reporting,NIL,NIL
283,PEOPLE & ORGANIZATION,How many layers does the Continental Quality Strategy have?,7,4,5,2,NIL,NIL,NIL,NIL,NIL,NIL,4,NIL,NIL
284,PEOPLE & ORGANIZATION,How many of the Continental Quality Strategy layers are valid for all divisions?,All of them,None,2,3,NIL,NIL,NIL,NIL,NIL,NIL,3,NIL,NIL
285,PEOPLE & ORGANIZATION,Which of these are strategic initiatives of Continental?,Compliance,Digital Transformation,Cultural Diversity,Quality First,NIL,NIL,NIL,NIL,NIL,NIL,Quality First,NIL,NIL
286,PEOPLE & ORGANIZATION,"Which of these are principles of ""Our Global Quality Understanding""?",Together,Streamlining,We do things right,Satisfaction,NIL,NIL,NIL,NIL,NIL,NIL,Together,NIL,NIL
287,PEOPLE & ORGANIZATION,Who has the best quality?  ,Mercedes,Toyota,Tesla,Quality is what customer expect and define,NIL,NIL,NIL,NIL,NIL,NIL,Quality is what customer expect and define,NIL,NIL
288,PEOPLE & ORGANIZATION,Why is customer satisfaction important for Continental?,To earn a lot of money,To have sustainable business success,To get nice incentives,To have Less Sales Effort,NIL,NIL,NIL,NIL,NIL,NIL,To have sustainable business success,NIL,NIL
289,PEOPLE & ORGANIZATION,What is the meaning of BoC,Best of Cost,Based on cooperation,Balance of cooperation,Best of compliance,NIL,NIL,NIL,NIL,NIL,NIL,Balance of cooperation,NIL,NIL
290,PEOPLE & ORGANIZATION,What does BoC (Balance of Cooperation) govern?,The interaction of employees,The decision competence of Leadership,The CEO Board Meetings,Cooperation of individual organizational units and regions,NIL,NIL,NIL,NIL,NIL,NIL,Cooperation of individual organizational units and regions,NIL,NIL
291,PEOPLE & ORGANIZATION,Which Quality Event takes place regularly in all locations?,Quality First Party ,Jidoka Conventions,DFSS Tests,Quality Day,NIL,NIL,NIL,NIL,NIL,NIL,Quality Day,NIL,NIL
292,PEOPLE & ORGANIZATION,"What is meaning of the quality principle ""Structured""?",Have no plan,No binding rules,Encourage commitment and autonomy,Holistic effort,NIL,NIL,NIL,NIL,NIL,NIL,Encourage commitment and autonomy,NIL,NIL
293,PEOPLE & ORGANIZATION,"What is the meaning of the quality principle ""From the beginning""?",I have a plan,I have the necessary resources,Do the things right from the very start,Continuous improvement,NIL,NIL,NIL,NIL,NIL,NIL,Do the things right from the very start,NIL,NIL
294,PEOPLE & ORGANIZATION,"What is the meaning of the quality principle ""Together""?",To be strong in our quality products and processes,To bring  quality products and processes to new levels,To believe in excellent quality products and processes,To influence the quality of all our product and processes,NIL,NIL,NIL,NIL,NIL,NIL,To influence the quality of all our product and processes,NIL,NIL
295,PEOPLE & ORGANIZATION,"What is the meaning of the quality principle ""Holistic""?",To understand quality as the continuous task of the entire Quality Organization,To understand quality as the continuous task of our Management for improvement in their own area,To understand quality as the continuous and holistic effort  to optimize our company's performance,To understand quality as the permanent task of our Board Members to track the quality indicators on a global level,NIL,NIL,NIL,NIL,NIL,NIL,To understand quality as the continuous and holistic effort  to optimize our company's performance,NIL,NIL
296,PEOPLE & ORGANIZATION,Bad Quality arises in various forms. Which criteria does not belong to it?,Delayed shipment,A process step has to be reworked,Passed PPAP,Design fails qualification test,NIL,NIL,NIL,NIL,NIL,NIL,Passed PPAP,NIL,NIL
297,PEOPLE & ORGANIZATION,What is the correct behavior when customer complaints come up?,Blame others,Reject customer complaint immediately,Sell failure parts to other customers with discounts and do not mention quality issue,Look into the matter and provide feedback and replacement according to customers' requests and agreements,NIL,NIL,NIL,NIL,NIL,NIL,Look into the matter and provide feedback and replacement according to customers' requests and agreements,NIL,NIL
298,PEOPLE & ORGANIZATION,What can you do to improve quality?,By planning ahead in order to perform much better,Be flexible with standards,Create new workflows on your own,Do not talk to supervisors about improvements,NIL,NIL,NIL,NIL,NIL,NIL,By planning ahead in order to perform much better,NIL,NIL
299,PRODUCTION & DELIVERY,“Jidoka” is:,Asian software system,Intelligent automation,Continental branch in Asia,Martial arts technique,NIL,NIL,NIL,NIL,NIL,NIL,Intelligent automation,NIL,NIL
300,PRODUCTION & DELIVERY,A data-driven improvement cycle used for improving and stabilizing business processes and designs is called:,Kaizen,DMAIC,Deming cycle,Cycle time,NIL,NIL,NIL,NIL,NIL,NIL,DMAIC,NIL,NIL
301,PRODUCTION & DELIVERY,What is not part of the DMAIC?,Measure,Analyze,Control,Import,NIL,NIL,NIL,NIL,NIL,NIL,Import,NIL,NIL
302,PRODUCTION & DELIVERY,What is not part of the DMAIC?,Define,Confirm,Analyze,Measure,NIL,NIL,NIL,NIL,NIL,NIL,Confirm,NIL,NIL
303,PRODUCTION & DELIVERY,What is not part of the DMAIC?,Automatize,Control,Define,Improve,NIL,NIL,NIL,NIL,NIL,NIL,Automatize,NIL,NIL
304,PRODUCTION & DELIVERY,What is “Kanban”?,Team building method,Alteration of the canvas business model,Waste,System to control logistical chain,NIL,NIL,NIL,NIL,NIL,NIL,System to control logistical chain,NIL,NIL
305,PRODUCTION & DELIVERY,Kanban is related to which production optimization technique?,Lean management,Just in time manufacturing,Multivariate optimization,Engineer-to-order,NIL,NIL,NIL,NIL,NIL,NIL,Just in time manufacturing,NIL,NIL
306,PRODUCTION & DELIVERY,The abbreviation “ppm” means:,Parts per million,Parts per minute,Proactive power management,Personal program manager,NIL,NIL,NIL,NIL,NIL,NIL,Parts per million,NIL,NIL
307,PRODUCTION & DELIVERY,“PPAP” means:,Production part approval process,Productive process action plan,Product placement automation plan,Practical production approval program,NIL,NIL,NIL,NIL,NIL,NIL,Production part approval process,NIL,NIL
308,PRODUCTION & DELIVERY,PPAP helps approving production designs and processes at what point of manufacturing?,Before,After,During,All of the answers are correct,NIL,NIL,NIL,NIL,NIL,NIL,All of the answers are correct,NIL,NIL
309,PRODUCTION & DELIVERY,The procedure of examining manufactured products if they meet the defined requirements is called:,Productivity measurement,Estimation of effectiveness,Sample part inspection,Automatic optical inspection,NIL,NIL,NIL,NIL,NIL,NIL,Sample part inspection,NIL,NIL
310,PRODUCTION & DELIVERY,"What does ""SOP"" mean?",Standard operation process,Supervisor of production,Start of production,Safety operations program,NIL,NIL,NIL,NIL,NIL,NIL,Start of production,NIL,NIL
311,PRODUCTION & DELIVERY,What is inevitable before shipping products to the planned destination?,Jidoka,Production part approval process,Black-box-testing,Root cause analysis,NIL,NIL,NIL,NIL,NIL,NIL,Production part approval process,NIL,NIL
312,PRODUCTION & DELIVERY,Which testing procedure ensures the electromagnetic compatibility?,EMI,EMC,EC,EMCB,NIL,NIL,NIL,NIL,NIL,NIL,EMC,NIL,NIL
313,PRODUCTION & DELIVERY,The EMC testing method ensures:,Electromagnetic capability,External management communication,Electromagnetic compatibility,Enterprise mobile connection,NIL,NIL,NIL,NIL,NIL,NIL,Electromagnetic compatibility,NIL,NIL
314,PRODUCTION & DELIVERY,What is another term for first pass yield?,First part approval,Throughput yield,Pass at once,Spare part yield,NIL,NIL,NIL,NIL,NIL,NIL,Throughput yield,NIL,NIL
315,PRODUCTION & DELIVERY,What products are counted out of an individual process to be first pass yield?,Parts with newest technology,Defectives only,Spare parts,Only good units with no rework,NIL,NIL,NIL,NIL,NIL,NIL,Only good units with no rework,NIL,NIL
316,PRODUCTION & DELIVERY,What does FPY mean?,First probable year,Frequency progress yield,First pass yield,Finished product yield,NIL,NIL,NIL,NIL,NIL,NIL,First pass yield,NIL,NIL
317,PRODUCTION & DELIVERY,Our plants are located in the following cities except,Aachen,Shanghai,Hefei,Alor Setar,NIL,NIL,NIL,NIL,NIL,NIL,Shanghai,NIL,NIL
318,PRODUCTION & DELIVERY,Which of the following is not in the tire manufacturing process?,Preparation,Tire building,Purchasing ,Curing,NIL,NIL,NIL,NIL,NIL,NIL,Purchasing ,NIL,NIL
319,PRODUCTION & DELIVERY,Which of the following products is not produced and supplied by Continental?,Tires,Battery,Break control system,Driving dynamic control system,NIL,NIL,NIL,NIL,NIL,NIL,Battery,NIL,NIL
320,PRODUCTION & DELIVERY,Which of the following is not included in the objective and benefit of the Jidoka?,Continuing the process,Prevention of rework,Leads to stabilized and robust process,Create the possibility of rapid reaction,NIL,NIL,NIL,NIL,NIL,NIL,Continuing the process,NIL,NIL
321,PRODUCTION & DELIVERY,Which of the following is not included in the content and usage approach of the Jidoka?,Stop the process,Fix or correct the immediate condition,Continuing the process,Restart the process,NIL,NIL,NIL,NIL,NIL,NIL,Continuing the process,NIL,NIL
322,PRODUCTION & DELIVERY,what is the overall objective of Jidoka?,Continuing the process,Prevent the correctness action,Ignore the deviation,Zero defect,NIL,NIL,NIL,NIL,NIL,NIL,Zero defect,NIL,NIL
323,PRODUCTION & DELIVERY,Which of the following is not the impact of the Jidoka to people?,Improve supportive leadership,Facilitate communication,Train and enable employees,Live continuous improvement,NIL,NIL,NIL,NIL,NIL,NIL,Facilitate communication,NIL,NIL
324,PRODUCTION & DELIVERY,"In Tire sector, _______ is a system which defines how Conti maintains machinery and equipment in all production facilities of the tire division, with the goals of increasing reliability and technical availability.",MaintainME,Jidoka,SMED,CBT,NIL,NIL,NIL,NIL,NIL,NIL,MaintainME,NIL,NIL
325,PRODUCTION & DELIVERY,"Regarding deliveries, supplier shall comply with a quality assurance agreement . Supplier is requested to support us in the compliance with the Corporate Continental Policy of the following except",Environment,Safety,Security and Health,Warranty,NIL,NIL,NIL,NIL,NIL,NIL,Warranty,NIL,NIL
326,PRODUCTION & DELIVERY,"Concerning the production process of the company, Which of the following projects are completed in """"process engineering"":",Mixing ,Management,Extrusion ,Assembly and automation,NIL,NIL,NIL,NIL,NIL,NIL,Management,NIL,NIL
327,PRODUCTION & DELIVERY,Which of the following does not belong to the types of maintenance?,Reactive,Random,Preventive,Predictive,NIL,NIL,NIL,NIL,NIL,NIL,Random,NIL,NIL
328,PRODUCTION & DELIVERY,"What does ""PDCA"" stand for?",Plan - do - check - act,Put - did - check - act,Plan - do - check- assure,Plan - do - consolidate - act,NIL,NIL,NIL,NIL,NIL,NIL,Plan - do - check - act,NIL,NIL
329,PRODUCTION & DELIVERY,"What does ""PPM"" stand for?",Parts per machine,Parts per million,Pieces per month,Parts per milliseconds,NIL,NIL,NIL,NIL,NIL,NIL,Parts per million,NIL,NIL
330,PRODUCTION & DELIVERY,"For what is used the ""5 Why"" tool?",To find all possible causes,To describe a problem,To find the root cause of a problem,To identify new failure modes in FMEA ,NIL,NIL,NIL,NIL,NIL,NIL,To find the root cause of a problem,NIL,NIL
331,PRODUCTION & DELIVERY,"What is ""5W2H""?",A set of questions used to describe a problem,A failure code ,A type of chemical,An APQP specific document,NIL,NIL,NIL,NIL,NIL,NIL,A set of questions used to describe a problem,NIL,NIL
332,PRODUCTION & DELIVERY,"What is ""Gemba walk""?",An IE specific report,A new type of fitness activity,A shop floor visit used to identify wasteful activities,A dance step,NIL,NIL,NIL,NIL,NIL,NIL,A shop floor visit used to identify wasteful activities,NIL,NIL
333,PRODUCTION & DELIVERY,What are the tools used for describing the problem in the 4D report?,Key Questions & Go Gemba ,Ishikawa,5 Why,Control charts,NIL,NIL,NIL,NIL,NIL,NIL,Key Questions & Go Gemba ,NIL,NIL
334,PRODUCTION & DELIVERY,"Which of the following is not part of the ""Structured problem solving"" steps?",Describe problem,Find Root Cause of Problem,Escalation,Validate solution and standardize,NIL,NIL,NIL,NIL,NIL,NIL,Escalation,NIL,NIL
335,PRODUCTION & DELIVERY,What are the tools used for validate solution and standardize in the 4D report?,Ishikawa & 5Why,Key Questions & Go Gemba ,Control Charts & Lessons learned,Brainstorming,NIL,NIL,NIL,NIL,NIL,NIL,Control Charts & Lessons learned,NIL,NIL
336,PRODUCTION & DELIVERY,What is the 4D?,4 Steps method for “Structured Problem Solving”,An unfinished 8D report,A brainstorming technique,An IT uploading tool,NIL,NIL,NIL,NIL,NIL,NIL,4 Steps method for “Structured Problem Solving”,NIL,NIL
337,PRODUCTION & DELIVERY,What does KPI stand for?,Key Performance Indicator,Key Performance Index,Key probability Indicator,Key performance Improvement,NIL,NIL,NIL,NIL,NIL,NIL,Key Performance Indicator,NIL,NIL
338,PRODUCTION & DELIVERY,Pareto is also known as ?,70-30 rule,80–20 rule,60-40 rule,50-50 rule,NIL,NIL,NIL,NIL,NIL,NIL,80–20 rule,NIL,NIL
339,PRODUCTION & DELIVERY,"What does the ""D"" stands for in ""8D""?",Disciplines,Days,Development,Digits,NIL,NIL,NIL,NIL,NIL,NIL,Disciplines,NIL,NIL
340,PRODUCTION & DELIVERY,What does SPC stand for?,Statistical process chart,Statistical process control,Supplier process control,Statistical product control,NIL,NIL,NIL,NIL,NIL,NIL,Statistical process control,NIL,NIL
341,PRODUCTION & DELIVERY,"What does the ""M"" in DMAIC stand for ?",Measure,Mechanical,Management,Mutual,NIL,NIL,NIL,NIL,NIL,NIL,Measure,NIL,NIL
342,PRODUCTION & DELIVERY,"What does the ""I"" in DMAIC stand for ?",Intuition,Improve,Industrial,Individual,NIL,NIL,NIL,NIL,NIL,NIL,Improve,NIL,NIL
343,PRODUCTION & DELIVERY,"What does it mean ""3016"" on the sidewall of the tire ?",Production date: day 16 of August,Production date: day 30st of the year 2016,Production date: week 16 of the year 2016,Production date week 30th of year 2016,NIL,NIL,NIL,NIL,NIL,NIL,Production date week 30th of year 2016,NIL,NIL
344,PRODUCTION & DELIVERY,Is it specified the production date on the tires ?,"Yes, once, on the serial side","Yes, on both sides",Only if the customer requires,Not,NIL,NIL,NIL,NIL,NIL,NIL,"Yes, once, on the serial side",NIL,NIL
345,PRODUCTION & DELIVERY,A tire is 1.5 years old,Can be sold as OE,Can be sold as Replacement,Can be sold on special market,"The tire is too old, should be scrapped",NIL,NIL,NIL,NIL,NIL,NIL,Can be sold on special market,NIL,NIL
346,PRODUCTION & DELIVERY,"What is ""CCCs""?",A Chinese standard,An American dealer,A Russian requirement,An abbreviation from ISO TS,NIL,NIL,NIL,NIL,NIL,NIL,A Chinese standard,NIL,NIL
347,PRODUCTION & DELIVERY,"What is ""FMVSS 139 ""?",An European standard,Federal Motor Vehicle Safety Standard (USA),South African Bureau of Standards ,Regulation 30 of the  Economic Commission for Europe,NIL,NIL,NIL,NIL,NIL,NIL,Federal Motor Vehicle Safety Standard (USA),NIL,NIL
348,PRODUCTION & DELIVERY,"The ""Safety warning"" on the sidewall is:",Mandatory from Conti side,Required by the American standards,Required by the European standards,Only design element,NIL,NIL,NIL,NIL,NIL,NIL,Mandatory from Conti side,NIL,NIL
349,PRODUCTION & DELIVERY,"What is ""UTQGS""?",Key performance index,Tool to find out the Root Cause of Problem,Uniform Tire Quality Grading Standard,System related technique,NIL,NIL,NIL,NIL,NIL,NIL,Uniform Tire Quality Grading Standard,NIL,NIL
350,PRODUCTION & DELIVERY,The Snow flake symbol:,"Is valid only together with ""M+S"" symbol",Is a pictogram,Is required by the Russian standard,Is required by the European standard,NIL,NIL,NIL,NIL,NIL,NIL,Is a pictogram,NIL,NIL
351,PRODUCTION & DELIVERY,"The ""DOT symbol"" is mandatory for tires in:","USA, Canada, Ecuador and Israel ",Only in USA,Only for China market,Inside Europe,NIL,NIL,NIL,NIL,NIL,NIL,"USA, Canada, Ecuador and Israel ",NIL,NIL
352,PRODUCTION & DELIVERY,What is unique for each tire ?,Barcode,Tire size,Tire brand,Inflation pressure,NIL,NIL,NIL,NIL,NIL,NIL,Barcode,NIL,NIL
353,PRODUCTION & DELIVERY,Is it written a tire structure on each tire ?,Yes,Only for Europe,Not,Only for Original Equipment,NIL,NIL,NIL,NIL,NIL,NIL,Only for Europe,NIL,NIL
354,PRODUCTION & DELIVERY,Have both tire sidewalls the same layout drawings ?,Not,Yes,Only for Original Equipment,Only for Replacement tires,NIL,NIL,NIL,NIL,NIL,NIL,Not,NIL,NIL
355,PRODUCTION & DELIVERY,All tires must have pictograms ?,"Yes, they are required by the law",If wanted from Marketing,At least one serial  side,Not,NIL,NIL,NIL,NIL,NIL,NIL,If wanted from Marketing,NIL,NIL
356,PRODUCTION & DELIVERY,Malaysia has specific standard ?,"Yes, MS 149","No, they follow the Chinese standards","No, they follow the American standards","No, they follow the European standards",NIL,NIL,NIL,NIL,NIL,NIL,"Yes, MS 149",NIL,NIL
357,PRODUCTION & DELIVERY,"What does the ""J"" on the tire sidewall ?",Marketing index,Customer specific marking,Tire produced in Japan,Tire age code,NIL,NIL,NIL,NIL,NIL,NIL,Customer specific marking,NIL,NIL
358,PRODUCTION & DELIVERY,What is the meaning of FMEA ? ,Name of a company,Shoe Brand,Failure mode and effects analysis ,First machine equipment area,NIL,NIL,NIL,NIL,NIL,NIL,Failure mode and effects analysis ,NIL,NIL
359,PRODUCTION & DELIVERY,What is the shortage of FML ? ,Final Mix Line,For Little Men,Name of a company,Name of a pill,NIL,NIL,NIL,NIL,NIL,NIL,Final Mix Line,NIL,NIL
360,PRODUCTION & DELIVERY,What is the shortage of MBL ?,Most Biggest Lie,"Master batch Line, ",Name of a movie,Basket-ball Team,NIL,NIL,NIL,NIL,NIL,NIL,"Master batch Line, ",NIL,NIL
361,PRODUCTION & DELIVERY,What is the shortage of QDV mean?,Quality distribution Vision,Quality Data Viewer,Shorted name for company,Name of a dog,NIL,NIL,NIL,NIL,NIL,NIL,Quality Data Viewer,NIL,NIL
362,PRODUCTION & DELIVERY,What does PLT Tires mean ? ,Plant Tires,Name for winter tires,Passenger & Light Truck Tires ,Summer Tires,NIL,NIL,NIL,NIL,NIL,NIL,Passenger & Light Truck Tires ,NIL,NIL
363,PRODUCTION & DELIVERY,KPI stands for ? ,Key Performance Indicator,Safety System,Individual Key Performance,Key process Instability,NIL,NIL,NIL,NIL,NIL,NIL,Key Performance Indicator,NIL,NIL
364,PRODUCTION & DELIVERY,What means the symbol lock ? ,Closed,Do Not Enter,Error proofing device,Do Not Pass,NIL,NIL,NIL,NIL,NIL,NIL,Error proofing device,NIL,NIL
365,PRODUCTION & DELIVERY,What does FEFO mean ?,Fire equipment for operations,First Expired First Out,System for equipment,Name of a brand,NIL,NIL,NIL,NIL,NIL,NIL,First Expired First Out,NIL,NIL
366,PRODUCTION & DELIVERY,What means QOS ?,Quality offline System,Quality of Service,Quantity of Scrap,Quality of System,NIL,NIL,NIL,NIL,NIL,NIL,Quality of Service,NIL,NIL
367,PRODUCTION & DELIVERY,What type of scrap is for Mixing ? ,Scrap 1,Scrap 2 ,Scrap 3,Scrap 4,NIL,NIL,NIL,NIL,NIL,NIL,Scrap 1,NIL,NIL
368,PRODUCTION & DELIVERY,What means FMF ? ,From Man Force,Final Mix Final,"Final, Manual, Force",For Major Finale ,NIL,NIL,NIL,NIL,NIL,NIL,Final Mix Final,NIL,NIL
369,PRODUCTION & DELIVERY,What means FMR ?,Final Mix Remit,Final Movement Rejected,Final Move Required,Final Mixture Reprogramed ,NIL,NIL,NIL,NIL,NIL,NIL,Final Mix Remit,NIL,NIL
370,PRODUCTION & DELIVERY,What color is for painting H compounds ? ,Green,Orange,Blue,Purple,NIL,NIL,NIL,NIL,NIL,NIL,Blue,NIL,NIL
371,PRODUCTION & DELIVERY,What color is used for labeling regular conform compound ? ,Orange,Green,White,Yellow,NIL,NIL,NIL,NIL,NIL,NIL,Green,NIL,NIL
372,PRODUCTION & DELIVERY,What means FMS ? ,Force Manual System,Fire Management System,Finish Measuring Stable,Final Mix Strained,NIL,NIL,NIL,NIL,NIL,NIL,Final Mix Strained,NIL,NIL
373,PRODUCTION & DELIVERY,What means TS4?,A mold number,A bladder type,Dot week,Type of press,NIL,NIL,NIL,NIL,NIL,NIL,A bladder type,NIL,NIL
374,PRODUCTION & DELIVERY,Week dot plate means:,Date of mold mounted,Date of mounted bladder,Production date of a cured tire,Shift date,NIL,NIL,NIL,NIL,NIL,NIL,Production date of a cured tire,NIL,NIL
375,PRODUCTION & DELIVERY,What is the name of the mobile scanner used in curing?,MC55,MF55,MX55,MT55,NIL,NIL,NIL,NIL,NIL,NIL,MC55,NIL,NIL
376,PRODUCTION & DELIVERY,What is the name for TWI?,Tire weight indicator,Total waste indicator,Type Work Instruction,Tread Wear Indicator,NIL,NIL,NIL,NIL,NIL,NIL,Tread Wear Indicator,NIL,NIL
377,PRODUCTION & DELIVERY,In order to clean a mold it is necessary to use:,Water,Cleaning substance for window,Ice,Air pressure ,NIL,NIL,NIL,NIL,NIL,NIL,Ice,NIL,NIL
378,PRODUCTION & DELIVERY,What means MGTS?,Multi green tire system,Many green tires sold,Multi green tire stand,Monitor green tire solution,NIL,NIL,NIL,NIL,NIL,NIL,Multi green tire stand,NIL,NIL
379,PRODUCTION & DELIVERY,Main scrap faults from curing begins with,3~,6~,2~,5~,NIL,NIL,NIL,NIL,NIL,NIL,6~,NIL,NIL
380,PRODUCTION & DELIVERY,What is the number of scrap code for dirt mold?,68A,66B,6C,60,NIL,NIL,NIL,NIL,NIL,NIL,68A,NIL,NIL
381,PRODUCTION & DELIVERY,What is the name of mandatory procedure in order to release a mold in production?,Mold change,Mold assembly,Mold release,There is no procedure needed,NIL,NIL,NIL,NIL,NIL,NIL,Mold release,NIL,NIL
382,PRODUCTION & DELIVERY,What is the name of the error proofing device in curing?,PT1,PT10,No error proofing device,PT100,NIL,NIL,NIL,NIL,NIL,NIL,PT100,NIL,NIL
383,PRODUCTION & DELIVERY,Who should decide in case of energy breakdown about affected tires?,Operator,Shift leader,Quality,341 team,NIL,NIL,NIL,NIL,NIL,NIL,341 team,NIL,NIL
384,PRODUCTION & DELIVERY,What are the conditions to keep bladders storage?,"Covered with black foil, hidden from sun light",Hidden from sun light but not covered ,Exposed to sun light and not covered,No special conditions,NIL,NIL,NIL,NIL,NIL,NIL,"Covered with black foil, hidden from sun light",NIL,NIL
